adm1_name,adm1_pcode,mean,period
Baringo,KE030,0.44431017065971573,baseline_2000_2005
Bomet,KE036,0.6989015218635276,baseline_2000_2005
Bungoma,KE039,0.617169828657298,baseline_2000_2005
Busia,KE040,0.5817356497218193,baseline_2000_2005
Elgeyo-Marakwet,KE028,0.6365119056831087,baseline_2000_2005
Embu,KE014,0.5209572142259491,baseline_2000_2005
Garissa,KE007,0.36303403295171527,baseline_2000_2005
Homa Bay,KE043,0.3940256250575823,baseline_2000_2005
Isiolo,KE011,0.2578618399306653,baseline_2000_2005
Kajiado,KE034,0.3590846029405691,baseline_2000_2005
Kakamega,KE037,0.6373114350981082,baseline_2000_2005
Kericho,KE035,0.6920132538067715,baseline_2000_2005
Kiambu,KE022,0.5838246372705456,baseline_2000_2005
Kilifi,KE003,0.5184155473143618,baseline_2000_2005
Kirinyaga,KE020,0.5826678070164723,baseline_2000_2005
Kisii,KE045,0.6730413225166669,baseline_2000_2005
Kisumu,KE042,0.44923967585739594,baseline_2000_2005
Kitui,KE015,0.43698256309817507,baseline_2000_2005
Kwale,KE002,0.513412001407858,baseline_2000_2005
Laikipia,KE031,0.4290282572334941,baseline_2000_2005
Lamu,KE005,0.6216000015530712,baseline_2000_2005
Machakos,KE016,0.4272694185783701,baseline_2000_2005
Makueni,KE017,0.45405714744164005,baseline_2000_2005
Mandera,KE009,0.2909847855294379,baseline_2000_2005
Marsabit,KE010,0.19065980946061062,baseline_2000_2005
Meru,KE012,0.509978271103082,baseline_2000_2005
Migori,KE044,0.48966298285644333,baseline_2000_2005
Mombasa,KE001,0.5047661992153663,baseline_2000_2005
Murang'a,KE021,0.6124214076056267,baseline_2000_2005
Nairobi,KE047,0.4470489283677139,baseline_2000_2005
Nandi,KE029,0.6941287128295477,baseline_2000_2005
Narok,KE033,0.5377522444453445,baseline_2000_2005
Nyamira,KE046,0.6973733565505587,baseline_2000_2005
Nyandarua,KE018,0.5987070202830242,baseline_2000_2005
Nyeri,KE019,0.6237291705307837,baseline_2000_2005
Samburu,KE025,0.3422710692701749,baseline_2000_2005
Siaya,KE041,0.44496059707635044,baseline_2000_2005
Taita Taveta,KE006,0.36967453221886265,baseline_2000_2005
Tana River,KE004,0.32262878801120504,baseline_2000_2005
Tharaka-Nithi,KE013,0.5440183219829149,baseline_2000_2005
Trans Nzoia,KE026,0.5960951309648554,baseline_2000_2005
Turkana,KE023,0.19754252774975783,baseline_2000_2005
Uasin Gishu,KE027,0.5517244681489302,baseline_2000_2005
Vihiga,KE038,0.6520197920051455,baseline_2000_2005
Wajir,KE008,0.2608819198769575,baseline_2000_2005
West Pokot,KE024,0.4508390597832245,baseline_2000_2005
Nakuru,KE032,0.5295799277249686,baseline_2000_2005
Baringo,KE030,0.5127693266850175,mid_2010_2015
Bomet,KE036,0.7211581412004805,mid_2010_2015
Bungoma,KE039,0.6324563177715538,mid_2010_2015
Busia,KE040,0.5886296551346596,mid_2010_2015
Elgeyo-Marakwet,KE028,0.6575741225009987,mid_2010_2015
Embu,KE014,0.49651384761733347,mid_2010_2015
Garissa,KE007,0.3455406455670193,mid_2010_2015
Homa Bay,KE043,0.4309189288973446,mid_2010_2015
Isiolo,KE011,0.23914544580539734,mid_2010_2015
Kajiado,KE034,0.3660996860232167,mid_2010_2015
Kakamega,KE037,0.6426186218999836,mid_2010_2015
Kericho,KE035,0.704965087084637,mid_2010_2015
Kiambu,KE022,0.5973618478122102,mid_2010_2015
Kilifi,KE003,0.5040233830492203,mid_2010_2015
Kirinyaga,KE020,0.5911283000818716,mid_2010_2015
Kisii,KE045,0.6773300452213459,mid_2010_2015
Kisumu,KE042,0.4775598708176654,mid_2010_2015
Kitui,KE015,0.4033563355190154,mid_2010_2015
Kwale,KE002,0.48852663095220505,mid_2010_2015
Laikipia,KE031,0.4648112943558871,mid_2010_2015
Lamu,KE005,0.5992299412982971,mid_2010_2015
Machakos,KE016,0.43070471987262654,mid_2010_2015
Makueni,KE017,0.4373734983249711,mid_2010_2015
Mandera,KE009,0.3064078327797165,mid_2010_2015
Marsabit,KE010,0.20023303400356113,mid_2010_2015
Meru,KE012,0.503817295712127,mid_2010_2015
Migori,KE044,0.5030330766071801,mid_2010_2015
Mombasa,KE001,0.4292915943405502,mid_2010_2015
Murang'a,KE021,0.623418571655569,mid_2010_2015
Nairobi,KE047,0.4245971459165848,mid_2010_2015
Nandi,KE029,0.7111707734867478,mid_2010_2015
Narok,KE033,0.5366178553248916,mid_2010_2015
Nyamira,KE046,0.7083649178208592,mid_2010_2015
Nyandarua,KE018,0.6289910653945535,mid_2010_2015
Nyeri,KE019,0.6442958677635207,mid_2010_2015
Samburu,KE025,0.3555528810870684,mid_2010_2015
Siaya,KE041,0.4638466007956572,mid_2010_2015
Taita Taveta,KE006,0.35482545629250045,mid_2010_2015
Tana River,KE004,0.3075617035443661,mid_2010_2015
Tharaka-Nithi,KE013,0.5101547967147497,mid_2010_2015
Trans Nzoia,KE026,0.6191888708300021,mid_2010_2015
Turkana,KE023,0.2406278266851742,mid_2010_2015
Uasin Gishu,KE027,0.5831010497628211,mid_2010_2015
Vihiga,KE038,0.666304884277291,mid_2010_2015
Wajir,KE008,0.2648841185960437,mid_2010_2015
West Pokot,KE024,0.5101730953997097,mid_2010_2015
Nakuru,KE032,0.570101186613556,mid_2010_2015
Baringo,KE030,0.5177289469906017,recent_2020_2024
Bomet,KE036,0.7495926250782987,recent_2020_2024
Bungoma,KE039,0.6457092066134402,recent_2020_2024
Busia,KE040,0.6011988200350953,recent_2020_2024
Elgeyo-Marakwet,KE028,0.6657366057690925,recent_2020_2024
Embu,KE014,0.5496603978590461,recent_2020_2024
Garissa,KE007,0.34931926971172034,recent_2020_2024
Homa Bay,KE043,0.44290491483602407,recent_2020_2024
Isiolo,KE011,0.23971087824054707,recent_2020_2024
Kajiado,KE034,0.394410029937456,recent_2020_2024
Kakamega,KE037,0.6642779771800656,recent_2020_2024
Kericho,KE035,0.7222868015706854,recent_2020_2024
Kiambu,KE022,0.6023788935699393,recent_2020_2024
Kilifi,KE003,0.4646416572984893,recent_2020_2024
Kirinyaga,KE020,0.617325663289652,recent_2020_2024
Kisii,KE045,0.7081174636866221,recent_2020_2024
Kisumu,KE042,0.4933787521026668,recent_2020_2024
Kitui,KE015,0.4352562261032416,recent_2020_2024
Kwale,KE002,0.4665217188836231,recent_2020_2024
Laikipia,KE031,0.44114187761952756,recent_2020_2024
Lamu,KE005,0.5974205001385525,recent_2020_2024
Machakos,KE016,0.46861156089068623,recent_2020_2024
Makueni,KE017,0.4815039098785282,recent_2020_2024
Mandera,KE009,0.30315096003114417,recent_2020_2024
Marsabit,KE010,0.19384165496410444,recent_2020_2024
Meru,KE012,0.5285548703871359,recent_2020_2024
Migori,KE044,0.5227503844479807,recent_2020_2024
Mombasa,KE001,0.37570382874368385,recent_2020_2024
Murang'a,KE021,0.6533053051555591,recent_2020_2024
Nairobi,KE047,0.4209808334097718,recent_2020_2024
Nandi,KE029,0.7275475841423764,recent_2020_2024
Narok,KE033,0.5714405057043558,recent_2020_2024
Nyamira,KE046,0.7352214535346951,recent_2020_2024
Nyandarua,KE018,0.6369141722155967,recent_2020_2024
Nyeri,KE019,0.6601764962602623,recent_2020_2024
Samburu,KE025,0.3526802528790304,recent_2020_2024
Siaya,KE041,0.4810990459585033,recent_2020_2024
Taita Taveta,KE006,0.3934871849346254,recent_2020_2024
Tana River,KE004,0.3215449104875095,recent_2020_2024
Tharaka-Nithi,KE013,0.5413303121317716,recent_2020_2024
Trans Nzoia,KE026,0.6222697306948418,recent_2020_2024
Turkana,KE023,0.2591094370870751,recent_2020_2024
Uasin Gishu,KE027,0.5882826880550373,recent_2020_2024
Vihiga,KE038,0.70000951107439,recent_2020_2024
Wajir,KE008,0.25667177411013115,recent_2020_2024
West Pokot,KE024,0.5147204359868254,recent_2020_2024
Nakuru,KE032,0.5696888723519327,recent_2020_2024
